GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myartifactid,default,Tarea,12,9,1,1,4,4,3,2,2,2
myartifactid,default,GestorTareas,47,24,9,1,11,7,7,3,2,3
